date,treenumber,treatment,healthrating,sootymoldrating,spad1,spad2,spad3,spad4,spad5,spad_avg,aphid1,aphid2,aphid3,aphid_avg,length (cm),final_os,final_female,final_male,final_nymph,abc_retention ,final_cmbsc,final_cmbsd,initial_os,initial_female,initial_male,initial_nymph,initial_cmbsc,initial_cmbsd
7/16/2023,1,sdb,1,2,30.8,45.5,38.3,32.1,47,38.74,0,0,0,0,439.3,0,27,79,161,0,267,0.607785113,130,6,26,0,162,0.368768495
,2,lw_netted,4,1,13.3,14.6,21.8,30.5,19.2,19.88,0,0,0,0,81,0,2,12,193,0,207,2.555555556,12,4,30,0,46,0.567901235
,3,untreated,1,2,37.3,43.3,32.6,45.2,25.6,36.8,0,0,0,0,316,4,22,429,2194,0,2649,8.382911392,54,5,32,0,91,0.287974684
,4,untreated,3,2,12.5,25.1,6.3,25.6,19,17.7,0,0,0,0,69.9,10,18,271,1195,0,1494,21.37339056,17,51,48,1,117,1.673819742
,5,lw_netted,2,3,23.4,29.8,37.2,1.8,16.2,21.68,6,10,7,7.666666667,206.5,0,7,88,725,0,820,3.97094431,23,3,37,0,63,0.305084746
,6,both,1,1,37.5,27.5,33.7,39.7,40.7,35.82,0,0,1,0.333333333,594.2,9,14,8,27,0,58,0.097610232,9,5,10,0,24,0.040390441
,7,sdb,1,2,34.8,34.1,29.5,34.4,40.2,34.6,0,0,0,0,378.5,11,65,871,2090,0,3037,8.023778071,37,7,23,0,67,0.177014531
,8,untreated_netted,3,2,14,13.8,39.1,23.9,34.8,25.12,7,3,0,3.333333333,97.3,11,8,19,833,0,871,8.951695786,19,9,44,0,72,0.739979445
,1491,clean,3,1,30.2,24.6,19.4,37.6,26.6,27.68,0,0,0,0,385.6,0,0,0,6,0,6,0.015560166,0,0,0,0,0,0
,10,lw_netted,2,3,22,42.3,30.5,41.4,21.2,31.48,102,50,37,63,562.1,11,74,188,1753,0,2026,3.604340865,36,8,48,3,95,0.169009073
,11,sdb_netted,3,1,21.7,25.4,32.2,27.7,16.3,24.66,0,0,0,0,79.5,3,4,12,21,0,40,0.503144654,31,7,21,0,59,0.742138365
,12,lw ,2,2,15.5,14.2,16.5,17.5,31,18.94,0,0,0,0,165.5,8,191,597,1319,0,2115,12.77945619,43,4,2,0,49,0.296072508
,13,both_netted,3,4,43.8,23.1,23.9,16.9,22.6,26.06,1,0,0,0.333333333,135.1,4,66,166,2859,0,3095,22.90895633,49,10,16,0,75,0.555144338
,14,untreated ,2,2.5,15,11.7,8.2,8.6,7.7,10.24,0,1,0,0.333333333,100.6,33,64,216,1282,0,1595,15.85487078,42,24,6,23,95,0.944333996
