treenumber,treatment,osc,fec,malec,nymphc,total_cmbs,timepoint
1,sdb,130,6,26,0,162,initial
2,lw_netted,12,4,30,0,46,initial
3,untreated,54,5,32,0,91,initial
4,untreated,17,51,48,1,117,initial
5,lw_netted,23,3,37,0,63,initial
6,both,9,5,10,0,24,initial
7,sdb,37,7,23,0,67,initial
8,untreated,19,9,44,0,72,initial
1491,clean,0,0,0,0,0,initial
10,lw_netted,36,8,48,3,95,initial
11,sdb_netted,31,7,21,0,59,initial
12,lw ,43,4,2,0,49,initial
13,both_netted,49,10,16,0,75,initial
14,untreated,42,24,6,23,95,initial
15,lw_netted,27,21,82,1,131,initial
16,sdb,16,4,14,0,34,initial
17,both_netted,13,9,6,0,28,initial
18,untreated,38,5,6,0,49,initial
19,untreated_netted,2,0,5,0,7,initial
20,both,2,0,15,0,17,initial
21,sdb,0,2,0,0,2,initial
22,clean,0,0,0,0,0,initial
23,untreated_netted,4,0,3,0,7,initial
24,untreated,15,11,24,0,50,initial
25,lw ,1,0,12,0,13,initial
26,both_netted,6,0,2,0,8,initial
27,untreated,7,0,25,0,32,initial
28,untreated,1,0,0,0,1,initial
29,untreated_netted,3,0,0,0,3,initial
30,sdb,6,0,6,0,12,initial
31,lw ,2,0,2,0,4,initial
32,clean,0,0,0,0,0,initial
33,both_netted,3,5,7,1,16,initial
34,sdb,4,2,9,0,15,initial
35,untreated,1,0,0,0,1,initial
1186,clean,0,0,0,0,0,initial
37,lw ,10,2,16,4,32,initial
38,lw_netted,48,24,34,9,115,initial
39,untreated_netted,3,1,2,0,6,initial
40,untreated,19,2,5,0,26,initial
41,both_netted,90,13,33,0,136,initial
42,both,2,1,0,0,3,initial
43,lw ,5,4,1,0,10,initial
1193,clean,0,0,0,0,0,initial
45,sdb,10,2,22,5,39,initial
1180,clean,0,0,0,0,0,initial
47,lw ,15,71,39,7,132,initial
48,untreated_netted,1,0,0,3,4,initial
49,untreated_netted,1,1,13,5,20,initial
50,both,30,0,12,0,42,initial
51,sdb_netted,32,16,29,19,96,initial
52,lw ,13,10,30,7,60,initial
53,both,10,3,4,5,22,initial
54,both,49,21,57,45,172,initial
55,both,36,20,14,9,79,initial
56,sdb,6,2,16,5,29,initial
57,sdb_netted,43,11,54,14,122,initial
58,untreated,12,1,5,0,18,initial
59,lw_netted,10,9,8,1,28,initial
60,both_netted,39,14,19,1,73,initial
61,untreated_netted,10,5,9,0,24,initial
62,lw_netted,24,24,73,11,132,initial
1177,clean,0,0,0,0,0,initial
63,lw_netted,6,6,15,0,27,initial
64,sdb_netted,12,1,2,0,15,initial
65,both_netted,60,0,29,0,89,initial
66,lw ,0,12,10,0,22,initial
67,both_netted,100,36,63,0,199,initial
68,clean,0,0,0,0,0,initial
69,clean,0,0,0,0,0,initial
70,lw ,13,1,5,1,20,initial
71,both_netted,25,2,16,0,43,initial
72,lw_netted,41,7,7,1,56,initial
73,both,8,4,16,18,46,initial
74,both_netted,10,9,28,9,56,initial
75,lw ,19,21,18,0,58,initial
76,clean,0,0,4,0,4,initial
77,both,26,20,32,1,79,initial
78,sdb_netted,15,3,27,0,45,initial
79,lw_netted,1,34,52,0,87,initial
80,both,1,0,3,0,4,initial
81,untreated_netted,4,26,43,0,73,initial
82,both_netted,14,4,6,0,24,initial
83,untreated,6,1,11,0,18,initial
84,both,1,2,9,0,12,initial
85,lw_netted,19,4,6,0,29,initial
86,lw ,11,0,10,0,21,initial
87,sdb,14,0,30,7,51,initial
88,untreated,3,3,16,0,22,initial
89,sdb_netted,24,0,26,0,50,initial
90,sdb_netted,15,1,7,0,23,initial
91,lw_netted,5,10,12,5,32,initial
92,untreated_netted,34,5,23,2,64,initial
93,sdb_netted,13,18,84,7,122,initial
94,sdb,63,10,26,0,99,initial
95,sdb,1,0,0,0,1,initial
1466,clean,0,0,0,0,0,initial
97,untreated_netted,38,3,9,5,55,initial
98,sdb_netted,10,5,3,0,18,initial
99,lw ,5,3,3,1,12,initial
100,sdb,27,3,14,8,52,initial
101,sdb_netted,15,1,2,0,18,initial
102,sdb_netted,23,12,34,1,70,initial
103,sdb_netted,8,5,5,1,19,initial
104,both,24,10,55,33,122,initial
105,both,1,0,1,0,2,initial
106,sdb_netted,3,2,0,0,5,initial
107,sdb,4,0,2,0,6,initial
108,both_netted,20,13,19,0,52,initial
109,lw_netted,2,1,3,0,6,initial
110,lw ,40,18,11,1,70,initial
111,clean,0,0,0,0,0,initial
112,clean,0,0,4,0,4,initial
113,both_netted,15,0,28,0,43,initial
114,untreated_netted,39,3,109,0,151,initial
115,untreated_netted,8,2,7,0,17,initial
116,untreated,10,0,4,0,14,initial
117,clean,0,0,0,0,0,initial
118,both_netted,17,4,57,0,78,initial
