treenumber,treatment,healthrating
1,sdb,1
2,lw_netted,4
3,untreated,1
4,untreated,3
5,lw_netted,2
6,both,1
7,sdb,1
8,untreated,3
1491,clean,3
10,lw_netted,2
11,sdb_netted,3
12,lw ,2
13,both_netted,3
14,untreated,2
15,lw_netted,4
16,sdb,2.5
17,both_netted,3
18,untreated,3
19,untreated_netted,4
20,both,3
21,sdb,3
22,clean,1
23,untreated_netted,3
24,untreated,3
25,lw ,3
26,both_netted,4
27,untreated,4
28,untreated,4
29,untreated_netted,4
30,sdb,4
31,lw ,4
32,clean,3.5
33,both_netted,3
34,sdb,3
35,untreated,3
1186,clean,3
37,lw ,3
38,lw_netted,3.5
39,untreated_netted,4
40,untreated,4
41,both_netted,3
42,both,2
43,lw ,3
1193,clean,1
45,sdb,3
1180,clean,1
47,lw ,2
48,untreated_netted,4
49,untreated_netted,1.5
50,both,3.5
51,sdb_netted,3
52,lw ,3.5
53,both,3
54,both,3.5
55,both,4
56,sdb,3.5
57,sdb_netted,4
58,untreated,3
59,lw_netted,4
60,both_netted,4
61,untreated_netted,1
62,lw_netted,1.5
1177,clean,2.5
63,lw_netted,1
64,sdb_netted,1
65,both_netted,2
66,lw ,1.5
67,both_netted,2.5
68,clean,3
69,clean,2
70,lw ,3
71,both_netted,2
72,lw_netted,3.5
73,both,3
74,both_netted,2.5
75,lw ,4
76,clean,2
77,both,2
78,sdb_netted,2
79,lw_netted,4
80,both,3
81,untreated_netted,1
82,both_netted,4
83,untreated,1
84,both,1
85,lw_netted,2
86,lw ,1
87,sdb,3
88,untreated,4
89,sdb_netted,4
90,sdb_netted,3.5
91,lw_netted,2
92,untreated_netted,3.5
93,sdb_netted,3.5
94,sdb,3.5
95,sdb,3
1466,clean,1
97,untreated_netted,3
98,sdb_netted,4
99,lw ,1
100,sdb,3
101,sdb_netted,3
102,sdb_netted,3
103,sdb_netted,1
104,both,3
105,both,1
106,sdb_netted,2
107,sdb,1
108,both_netted,1.5
109,lw_netted,3.5
110,lw ,3
111,clean,3
112,clean,3
113,both_netted,3
114,untreated_netted,3
115,untreated_netted,3
116,untreated,2
117,clean,2
118,both_netted,3
119,lw ,1
120,sdb,3
121,both,3
122,sdb_netted,3
123,clean,3
124,untreated,3
125,lw_netted,3
